OPERATOR_ID,NAME,COUNTRY,CONTINENT,GSMA_NOTES,NUMBER OF SUBMISSIONS,LATEST_2G,LATEST_3G,LATEST_4G,LATEST_5G
7,Afghan Wireless (TSI),Afghanistan,ASIA,-,3,2016,2016,Not Submitted,-
487,Roshan (TDCA),Afghanistan,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
1017,MTN,Afghanistan,ASIA,-,2,2016,Not Submitted,No Licence,-
1431,Etisalat,Afghanistan,ASIA,-,1,2015,2015,Not Submitted,-
1788,Salaam (Afghan Telecom),Afghanistan,ASIA,-,-,Not Submitted,Not Submitted,No Licence,-
1789,Wasel Telecom,Afghanistan,ASIA,-,-,Not Submitted,Not Submitted,No Licence,-
554,Vodafone,Albania,EUROPE,-,1,2012,2012,Not Submitted,-
628,One Telecommunication (antenna Hungaria),Albania,EUROPE,-,3,2020,2020,2020,-
1793,ALBtelecom (antenna Hungaria),Albania,EUROPE,-,5,2017,2017,2017,-
17,Mobilis (Algerie Telecom),Algeria,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
574,Ooredoo (NMTC),Algeria,AFRICA,-,1,2013,Not Submitted,Not Submitted,-
597,Djezzy,Algeria,AFRICA,-,1,2012,Not Submitted,Not Submitted,-
688,ASTCA,American Samoa,OCEANIA,-,-,Not Submitted,Not Submitted,No Licence,-
753,BlueSky Communications (ATH),American Samoa,OCEANIA,-,1,2010,Not Submitted,No Licence,-
677,Andorra Telecom,Andorra,EUROPE,-,2,2019,2019,2019,-
542,Unitel,Angola,AFRICA,-,2,2011,Not Submitted,Not Submitted,-
689,Movicel,Angola,AFRICA,-,2,2012,Not Submitted,Not Submitted,-
5831,Multitel,Angola,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5939,Net One (MSTelcom),Angola,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
8759,Africell,Angola,AFRICA,,1,2021,2021,2021,
56,Flow (Liberty Latin America),Anguilla,N AMERICA,-,1,2004,Not Submitted,No Licence,-
1790,Digicel,Anguilla,N AMERICA,-,4,2019,2019,2019,-
23,inet (APUA),Antigua and Barbuda,N AMERICA,-,2,2004,2020,2020,No Licence
844,Flow (Liberty Latin America),Antigua and Barbuda,N AMERICA,-,1,2004,Not Submitted,Not Submitted,-
884,Digicel,Antigua and Barbuda,N AMERICA,-,4,2019,2019,2019,-
132,Claro (America Movil),Argentina,S AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
